20,3220.00,Transfer,21/03/2024 23:43:59
20,3240,Deposit,21/03/2024 23:59:46
-20,3220,Withdraw,21/03/2024 23:59:48
2,3222,Deposit,22/03/2024 09:11:34
2,3224,Deposit,22/03/2024 09:11:42
0,3224,Deposit,22/03/2024 09:16:46
0,3224,Withdraw,22/03/2024 09:16:50
0,3224,Withdraw,22/03/2024 09:17:16
-20,3204,Payment,22/03/2024 09:32:52
0,3204,Deposit,22/03/2024 09:40:36
-2,3202,Transfer,22/03/2024 09:48:56
-1,3201,Deposit,22/03/2024 11:39:59
1,3202,Withdraw,22/03/2024 11:43:15
0,3202,Withdraw,22/03/2024 12:05:45
